# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
-9510,-32768,-12760,-3931,637,-1037,32767,-4470,17542,-3505,7827,481,5
-2768,-30100,-12982,-2407,-588,-223,25960,-3812,12230,-101,6576,996,5
492,-20570,-9914,-4125,-2067,94,17880,-3504,6054,4246,6035,1756,5
1054,-10522,-5000,-111,-1795,-1890,8910,-1452,2098,4881,7199,2304,5
3236,-2100,-2598,1041,-1084,-2608,1232,-798,10,4655,8892,4305,5
1514,5118,216,-841,-525,-247,-3426,518,-1466,4584,5102,2750,5
2492,6688,386,-1418,-409,129,-4470,1572,-2202,2336,1628,1376,5
2546,3500,1796,457,388,-1617,-2380,932,-1522,814,-3383,-545,5
1030,260,394,1598,-40,-1137,926,-82,-836,-953,-4168,-154,5
-480,-1714,-776,-120,-901,384,2642,-250,-266,-1640,-3233,-270,5
-734,-3816,-2264,285,-1334,766,2518,48,-716,-2387,-303,-517,5
-212,-2652,-2428,1637,-1456,-112,1348,-132,-1256,-1992,2429,-182,5
410,-924,-720,1723,-695,-903,568,-220,-1170,82,2981,1,5
1952,1732,-1608,-691,1550,-398,844,-248,-94,1875,1789,285,5
2082,-1640,-3884,-4025,2564,206,3118,-1116,5850,2160,-5128,-1482,5
1502,-11482,-4842,425,1143,-1819,13414,88,9606,1280,-12334,-1309,5
3446,-30172,-6108,5452,-2818,-4911,28012,-2344,12602,-1163,-16794,-1394,5
-3758,-32768,-19954,14604,1378,-493,32767,-6350,14008,-3366,-3912,-2151,5
-14560,-32768,-16886,4874,-630,2381,32767,-7546,20002,-1040,-409,-825,5
-7018,-32768,-4416,-2615,-1231,1328,32767,-4682,21584,255,639,427,5
-6854,-32768,-14294,-2700,3402,506,32767,-3428,21004,-2863,1547,78,5
-7348,-32768,-12372,-2652,2167,1633,32767,-3544,16992,-3414,4465,56,5
-6326,-30186,-7862,-2354,1166,2395,28310,-4090,12020,-1709,5211,1171,5
-2244,-19536,-6980,-8116,865,1480,16444,-3600,6912,-934,5464,2142,5
-1584,-11810,-4532,-3336,1017,-2630,7444,-2550,1614,435,6400,3348,5
4736,-1492,-2876,-3567,20,-6037,338,-624,-1108,3533,7228,4740,5
5290,9158,326,-4224,-2482,-2664,-4882,604,-3008,3846,5368,4476,5
2478,8684,2002,-501,-1451,639,-4780,1650,-4032,2337,-515,1719,5
620,2426,2246,412,-293,-836,358,614,-2910,507,-5715,51,5
-694,-1160,570,754,-1797,-1631,2612,-436,-1822,-117,-6394,-239,5
