# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
-898,-16176,-4842,-345,709,51,15016,-3684,6254,-2882,-2042,1248,2
-628,-16252,-4960,-434,767,-5,14448,-3482,6340,-2874,-1461,1445,2
-804,-16176,-4860,-279,1030,-1,14468,-4214,7202,-3166,-1768,1480,2
-908,-16036,-4790,-350,1213,92,15120,-4488,6556,-4223,-2216,1684,2
-894,-15988,-4794,-568,933,97,15466,-4046,6068,-3801,-1113,1988,2
-1184,-16224,-4852,-542,944,37,14738,-4096,5624,-3998,-331,2202,2
-1390,-16316,-4900,-497,1182,-80,14948,-4822,5340,-3710,-21,2039,2
-1268,-16268,-4998,-619,1075,-54,14430,-4900,5552,-3057,-131,2216,2
-1284,-16244,-4954,-111,781,-23,14638,-4966,5210,-3045,-416,2459,2
-1234,-16256,-4892,295,535,143,14502,-5244,4666,-2479,336,2433,2
-1412,-16036,-4828,-91,398,127,14262,-4800,5942,-2656,162,2458,2
-1674,-16258,-4804,55,341,42,14406,-5082,5306,-2792,218,2148,2
-1230,-16062,-5004,961,89,119,13764,-5358,4700,-2337,1111,1491,2
-722,-15978,-5010,364,-161,20,13604,-5852,6540,-1866,735,854,2
-930,-15968,-4974,294,98,53,15034,-5110,7226,-3845,-1378,1892,2
-928,-16110,-4968,471,28,131,14122,-5708,4706,-4048,459,1817,2
-756,-16050,-5124,257,54,24,13724,-6164,4718,-1977,1632,310,2
-1024,-16152,-5154,420,547,-134,13972,-6342,5374,-416,1153,31,2
-1310,-16110,-5206,639,778,-157,13944,-6684,5280,36,416,189,2
-1208,-15810,-5212,689,453,-77,14312,-6312,5656,37,-530,436,2
-1188,-16336,-5098,629,504,-114,14502,-6118,5976,-669,-979,564,2
-1440,-16408,-4860,-235,802,-159,14034,-6206,5528,-755,-738,226,2
-1678,-16436,-4874,-195,494,-318,14192,-6332,5296,-377,-663,-150,2
-1702,-16378,-4874,4,-26,-476,14784,-6280,5906,-705,-1512,38,2
-1550,-16282,-4860,147,-434,-589,14090,-6656,5156,-989,-1679,144,2
-1454,-16306,-4770,235,-779,-693,13766,-6474,4412,644,-706,-526,2
-1304,-16300,-4762,55,-648,-704,14656,-6422,5104,1636,-914,-725,2
-1128,-16176,-4846,56,-760,-702,14714,-6364,5178,1566,-1177,-601,2
-1198,-16242,-4910,-33,-903,-601,14132,-6086,4602,2090,-373,-791,2
-1222,-16274,-4976,128,-859,-565,14258,-6168,4808,3673,671,-1390,2
-1170,-16268,-4922,124,-714,-574,14990,-5898,6020,3377,-476,-1210,2
-1182,-16306,-4888,7,-816,-575,14492,-5804,5030,3480,-296,-1149,2
-1274,-16358,-5014,146,-945,-592,13976,-5874,4982,5619,1393,-2055,2
-1198,-16168,-4802,672,-958,-614,13936,-5506,4898,8400,2711,-3316,2
-1158,-16196,-4708,785,-919,-630,14174,-4644,5630,9244,2359,-3473,2
-1192,-16092,-4790,891,-814,-645,15074,-4126,7168,7353,1359,-2608,2
-1086,-16088,-4826,755,-561,-645,16278,-2884,9524,194,-3111,-579,2
-1066,-16182,-4802,776,-572,-653,15204,-3146,6134,-4729,-3230,929,2
-1130,-16264,-4896,667,-523,-600,14112,-4758,4922,-2053,-266,-1015,2
-1320,-16440,-4736,859,-217,-608,14486,-5038,6734,-871,-1084,-1918,2
-1418,-16154,-4614,598,-487,-616,14708,-4414,5708,-954,-1470,-988,2
-1254,-16088,-4684,319,-691,-643,14358,-4170,5102,1018,219,-964,2
-1112,-16190,-4538,315,-195,-729,14560,-4480,6818,1543,-343,-1438,2
-1114,-16020,-4640,96,-67,-745,14256,-3790,5562,825,-738,-1403,2
-1280,-16194,-4764,-7,-7,-610,14394,-3776,5538,2203,375,-1687,2
-1150,-16216,-4696,242,12,-572,15406,-4304,8460,1818,-992,-1483,2
-1034,-16194,-4766,162,-283,-577,14624,-4222,6646,-504,-1543,-1238,2
-1008,-16518,-4834,316,-310,-618,15094,-3156,5046,232,485,-1737,2
-874,-16160,-4618,294,-7,-501,15108,-3600,6504,1357,1312,-2236,2
-1124,-16176,-4598,386,-69,-609,14734,-3556,5878,1475,1218,-2097,2
-1186,-16286,-4692,296,140,-692,14888,-3110,6196,2448,1658,-1650,2
-1160,-16218,-4674,267,386,-691,14780,-2808,6266,2638,1954,-1218,2
# ---,,,,,,,,,,,,2
-784,-16102,-4736,79,351,-458,13894,-2464,6474,2571,2028,-1512,2
-706,-16172,-4846,423,545,-368,14884,-2620,6798,1990,2247,-1911,2
-518,-15950,-4656,746,589,-162,15166,-3060,8388,459,841,-1898,2
-604,-15974,-4608,216,633,-66,14350,-2664,6624,-328,886,-2366,2
-1072,-16268,-4608,234,1066,-72,15598,-3054,6850,-464,2022,-2077,2
-1456,-16384,-4694,388,1096,-312,14704,-3192,7288,-696,1659,-1274,2
-1422,-16044,-4742,341,871,-416,14748,-3048,6090,-314,1091,-1144,2
-1302,-16202,-4592,303,523,-380,14886,-3214,6560,566,587,-897,2
-1426,-16128,-4360,179,365,-316,14998,-2700,7142,557,-173,-47,2
