730, 1086, 16632, -402, -377, -99
736, 1060, 16642, -404, -378, -103
712, 1042, 16620, -404, -381, -97
698, 1074, 16684, -405, -378, -94
724, 1074, 16674, -406, -380, -101
710, 1082, 16676, -407, -376, -101
704, 1074, 16662, -402, -376, -97
700, 1070, 16654, -403, -375, -99
706, 1112, 16660, -406, -371, -99
706, 1086, 16646, -409, -375, -98
696, 1076, 16608, -402, -376, -96
724, 1080, 16616, -408, -377, -95
722, 1076, 16622, -407, -371, -97
738, 1072, 16652, -415, -375, -97
734, 1100, 16662, -404, -371, -101
710, 1120, 16706, -408, -373, -95
698, 1106, 16656, -402, -378, -98
712, 1086, 16662, -407, -377, -96
742, 1080, 16670, -407, -371, -95
720, 1082, 16670, -414, -366, -101
730, 1072, 16652, -414, -375, -100
716, 1074, 16640, -416, -375, -101
692, 1078, 16686, -410, -373, -105
698, 1084, 16670, -416, -372, -101
720, 1088, 16678, -410, -375, -100
754, 1076, 16636, -417, -380, -100
690, 1076, 16642, -418, -373, -91
684, 1078, 16662, -408, -379, -95
684, 1084, 16668, -410, -379, -100
710, 1076, 16628, -410, -379, -97
716, 1070, 16620, -412, -381, -98
700, 1070, 16660, -413, -378, -92
734, 1064, 16632, -409, -375, -94
734, 1100, 16664, -404, -370, -99
696, 1092, 16672, -411, -371, -93
696, 1098, 16656, -415, -367, -92
718, 1086, 16628, -413, -379, -98
676, 1094, 16632, -416, -374, -89
708, 1076, 16680, -414, -378, -100
722, 1068, 16668, -414, -381, -92
676, 1096, 16716, -398, -374, -103
618, 1102, 16638, -325, -424, -83
786, 1150, 16412, -414, -379, -79
410, 1050, 16880, -454, -237, -6
618, 1112, 16418, -449, -470, 122
824, 1020, 16704, -414, -337, 106
506, 892, 16802, -403, -294, 167
750, 962, 16530, -404, -405, 176
1014, 1058, 16756, -418, -378, 103
1000, 1012, 16668, -401, -420, -81
642, 1106, 16498, -419, -423, -142
1328, 780, 16796, -392, -422, -239
1082, 332, 16800, -371, -403, -616
380, 552, 16494, -270, -403, -709
-300, 916, 16728, -317, -194, -302
90, 1206, 16460, -420, -364, 140
1022, 1328, 16842, -534, -461, 191
1402, 1518, 16648, -498, -465, -134
498, 1208, 15592, -521, -92, -256
-1496, -238, 17042, -747, 1212, 397
-2186, -996, 17060, -710, 1472, 1361
-2260, -1466, 16666, -730, 1096, 2259
-2072, -1786, 16516, -902, 1551, 2608
-1898, -1702, 16686, -1118, 1982, 2892
-1240, -1792, 16514, -1596, 3048, 2875
-428, -1452, 16570, -2246, 4591, 2602
470, 266, 16720, -2726, 5340, 2754
2340, 2580, 16194, -2061, 3438, 3553
9328, 2256, 16736, -994, -1171, -176
5256, 1420, 17054, -375, -2890, -2825
3220, -434, 17100, -750, -1232, -3537
1884, 806, 16834, -596, -1489, -3060
986, 2620, 16456, -548, -2012, -2383
-130, 3640, 16444, -453, -2878, -1885
-714, 3728, 16708, -475, -2604, -1981
-1600, 4116, 16568, -625, -1286, -1606
-450, 3848, 16762, -741, -275, -1003
-148, 2430, 17052, -698, 560, -1108
-1874, 2320, 17034, -477, 872, -951
-306, 1774, 16756, -95, -427, -969
1488, 818, 17682, 692, -2568, -2893
1570, 1302, 18034, 1358, -3515, -4354
894, 712, 19056, 2225, -3823, -5458
-734, 1162, 18868, 3357, -3676, -4854
-572, 426, 20022, 4805, -1512, -1252
564, 394, 20464, 6438, 175, 1539
1514, 974, 20238, 8277, 720, 2406
1420, 1466, 20714, 9868, 1021, 1469
246, 2052, 22222, 11270, 53, 73
-170, 2292, 21992, 11721, -1793, -1252
-484, 2924, 21178, 9942, -1874, -1842
-884, 3710, 21032, 6560, -1258, -1430
206, 3774, 20204, 1276, -1170, -921
744, 4348, 19630, -4073, -1643, -1367
1366, 3900, 19446, -8442, -3532, -1670
2442, 2626, 19310, -10233, -5624, -2352
1804, 1598, 18898, -9648, -6179, -2432
442, 1394, 18338, -8033, -5050, -1253
-524, 2396, 17662, -6495, -3016, 494
-1000, 2866, 17162, -5876, -187, 1619
-1990, 2488, 17624, -5334, 2477, 1847
-2000, 2010, 18528, -4369, 3256, 1249
-684, 1334, 18792, -3428, 2991, -22
100, 730, 19580, -3132, 2979, -888
1036, 690, 20016, -3713, 3314, -608
2160, 490, 19246, -5221, 3018, -983
2158, 52, 18546, -7296, 2276, -1678
1666, -460, 18546, -8647, 1867, -2141
1124, -524, 17894, -9159, 2385, -2185
784, -322, 17538, -9567, 3498, -1777
748, -498, 16988, -9993, 4203, -1427
1032, -546, 16722, -10297, 4195, -1629
944, -688, 16182, -10599, 3925, -1477
830, -770, 15896, -10549, 3859, -1135
1004, -950, 15402, -10432, 3771, -641
924, -1070, 14970, -10310, 3722, -253
724, -1018, 14700, -10084, 3979, 197
864, -922, 14076, -9914, 3812, 113
862, -812, 13246, -10035, 3145, -324
1046, -826, 12262, -10189, 2321, -631
1124, -846, 11076, -10108, 1571, -689
1232, -1542, 10278, -8613, 801, -906
1212, -1654, 8600, -3624, -236, -1186
1602, -1054, 6058, 2518, -1023, -1456
1768, -146, 4150, 5561, -1034, -1330
1690, 416, 4008, 4432, -468, -631
1454, 434, 5558, 1360, -250, 393
1068, 148, 7450, -1398, -531, 1254
642, 68, 8908, -2850, -905, 2036
400, 80, 9506, -2711, -1115, 2270
578, 382, 9606, -1982, -1202, 2217
772, 432, 10036, -845, -1628, 1705
538, 614, 9960, 1216, -2870, 987
160, 1102, 9938, 3502, -4077, 446
-366, 1474, 10188, 5496, -4080, 336
-1372, 1620, 11492, 7951, -1928, 232
-474, 1130, 12054, 9230, -1369, 553
740, 630, 12504, 9630, -1620, 17
748, 222, 13668, 9670, -1792, 4
822, 30, 14438, 9404, -2279, 13
502, 126, 15356, 8863, -2763, 229
56, 346, 16486, 8331, -3054, 53
370, 224, 17008, 7446, -3089, 98
1006, 166, 16944, 5354, -3477, 101
906, 30, 17614, 3185, -3996, -184
438, -44, 18042, 1957, -4548, -481
258, -70, 18042, 1324, -5121, -753
570, 112, 17700, 1208, -4870, -662
596, 288, 17224, 1533, -4296, -477
988, 114, 17338, 2221, -3836, -443
1190, -196, 17990, 3334, -3454, -592
848, -378, 18880, 4734, -3000, -505
632, -216, 19540, 5457, -2456, -226
678, -228, 20150, 5246, -2172, -95
562, -302, 20672, 4790, -1934, 24
474, -246, 20972, 4386, -1516, 302
622, -254, 20944, 4096, -757, 795
858, 146, 20560, 3725, -182, 1067
396, 704, 20088, 3114, -226, 874
140, 1006, 19624, 2725, 284, 942
166, 1116, 19442, 2931, 1002, 975
320, 1012, 19318, 3394, 1222, 895
764, 754, 19608, 3851, 1281, 837
648, 424, 20640, 4262, 1432, 877
294, 454, 21454, 4503, 1487, 1033
28, 836, 21816, 3847, 1592, 910
-464, 1118, 22372, 2832, 2148, 801
-862, 1478, 22544, 2050, 2932, 936
-604, 1622, 22664, 1404, 3285, 1033
-428, 1418, 23180, 906, 2910, 1036
-508, 1344, 23770, 733, 2064, 834
-932, 1262, 24096, 452, 1083, 844
-1362, 1866, 23948, 13, 398, 597
-2044, 2370, 23606, -855, 211, 153
-2406, 2630, 23320, -1832, 568, -110
-2222, 2652, 22720, -2857, 1207, -197
-2010, 2606, 22228, -3682, 1829, -278
-1866, 2438, 22006, -4086, 2375, -336
-1766, 2368, 21678, -4135, 2958, -376
-1522, 2384, 21048, -4264, 3493, -516
-1184, 2252, 20296, -4592, 3598, -767
-630, 1898, 19610, -5007, 3556, -1042
-400, 1516, 19118, -5276, 3311, -1250
-432, 1298, 18622, -5391, 3170, -1208
-500, 1216, 18076, -5585, 3094, -1119
-358, 1074, 17428, -5755, 3412, -919
-308, 1002, 16908, -5800, 3799, -790
-486, 940, 16480, -5697, 3906, -756
-640, 1116, 16004, -5259, 4104, -735
-336, 1216, 15246, -5122, 4496, -691
28, 864, 14914, -5336, 4999, -604
